filename,width,height,class,xmin,ymin,xmax,ymax
181-E-3708-TU-06-15_jpeg.rf.007834edfa66b22ecb1bd8bfaeb4656a.jpg,640,640,plate,0,0,640,615
IMG_20230718_110827_jpg.rf.005a034ac044f53f66136b0f98e7fc4d.jpg,640,640,plate,148,319,389,401
IMG20230711140843_jpg.rf.004f8b44ce5e3e97bf2c06909a01cd6d.jpg,640,640,plate,255,453,304,500
IMG20230711140843_jpg.rf.004f8b44ce5e3e97bf2c06909a01cd6d.jpg,640,640,plate,122,389,162,415
IMG_20230718_110317_jpg.rf.00f5b7d170a925c0c7ccfb84dd76d995.jpg,640,640,plate,142,267,296,400
163-E-6804-RV-02-19_jpeg.rf.0092565afde6d3386369d01cb5f4ba4d.jpg,640,640,plate,17,7,615,602
IMG_20230718_110851_jpg.rf.00603e9c9095183650c5bb6d90835818.jpg,640,640,plate,149,201,499,330
IMG_20230711_142239_jpg.rf.0012ae22e73eb5ce61ddab04b1d38c78.jpg,640,640,plate,496,382,584,490
90-E-5811-RO-10-18_jpeg.rf.0080d4b7533f7b604470d7170a7e372e.jpg,640,640,plate,0,0,640,633
148-E-3052-QU-06-20_jpg.rf.00b65fa813e559f18018884e7e6bd632.jpg,640,640,plate,0,1,639,636
IMG-20180108-WA0043_jpg.rf.00b60278041dfe0bc02a4346072bb1b0.jpg,640,640,plate,278,406,381,475
IMG-20180108-WA0097_jpg.rf.0191f49d90bbd9d3c501e98c8cf4a34d.jpg,640,640,plate,134,397,203,439
IMG-20180108-WA0097_jpg.rf.0191f49d90bbd9d3c501e98c8cf4a34d.jpg,640,640,plate,456,409,515,443
IMG_20230718_104401_jpg.rf.01d89722e2b1c0ddef147c5670fab4ec.jpg,640,640,plate,213,424,416,484
IMG_20230718_110738_jpg.rf.01b1d69670604dff195bb58bbb573e33.jpg,640,640,plate,181,253,495,394
IMG_20230718_105744_jpg.rf.01774894fc4dea8628c4dd2a735a0029.jpg,640,640,plate,364,246,478,370
299-E-5051-SD-03-18_jpeg.rf.0219e662b53d6fe11fefd866774088b8.jpg,640,640,plate,0,0,640,640
IMG_20230711_141436_jpg.rf.022065f89b6c38ee61bfa2437147aac2.jpg,640,640,plate,292,404,425,468
180-E-3646-RL-05-20_jpeg.rf.00e19b533fc6c5c32ea3ae5a4c5e1a45.jpg,640,640,plate,0,0,640,640
IMG_20230718_110248_jpg.rf.0278425de3c4b16609b8729e84d784db.jpg,640,640,plate,273,300,422,445
IMG20230711140639_jpg.rf.0261647612313872ed2c6436e3ec109b.jpg,640,640,plate,401,400,473,442
IMG_20230718_110002_jpg.rf.01f4d303a9e986cf1c0167a99ff546ad.jpg,640,640,plate,100,305,209,386
20171214_121617_jpg.rf.0292d0f6b5d72995c3b5713a5c4a5622.jpg,640,640,plate,0,14,640,534
20171214_091545_jpg.rf.023fce24b548d305ab8b089ab907e8ca.jpg,640,640,plate,8,108,640,537
196-E-6843-SV-06-21_jpeg.rf.02eaae234825595fb70ffb7cd2d5ca25.jpg,640,640,plate,0,25,636,623
IMG_20230718_110806_jpg.rf.02e70b9e0962f7b433962f31c167ca58.jpg,640,640,plate,264,337,456,509
20171211_110659_jpg.rf.0368d8da0df53b9bb2cd7837c1f47bd2.jpg,640,640,plate,0,3,640,499
343-E-6894-SB-11-19_jpeg.rf.031d0087d2f40becfcf28ecbdab10b8e.jpg,640,640,plate,0,0,640,640
IMG_20230711_141327_jpg.rf.0297a2bd2527af261bcf5589de4de7cf.jpg,640,640,plate,310,469,449,531
IMG-20180108-WA0035_jpg.rf.02a5e432a95b7332dbd9e59e56ccb55e.jpg,640,640,plate,45,384,94,428
IMG-20180108-WA0035_jpg.rf.02a5e432a95b7332dbd9e59e56ccb55e.jpg,640,640,plate,154,221,186,249
