filename,width,height,class,xmin,ymin,xmax,ymax
51-E-3083-PAH-10-21_jpeg.rf.300e50a7d5dd98c6b2d84fb04137223f.jpg,429,149,plate,24,17,411,149
25-E-2101-PAD-06-21_jpeg.rf.303ef75be69f9b5d0e9c6b046da871f6.jpg,670,303,plate,10,1,670,275
29-E-3978-SC-12-21_jpeg.rf.31b1b357ffd15a1a03df56093b53f418.jpg,579,243,plate,8,6,572,231
159-E-5084-RY-08-21_jpg.rf.328e26a39d440b83d9d0a087867a500d.jpg,91,36,plate,1,2,89,36
117-E-2251-TI-01-22_jpg.rf.337e3037823e40f87995b5c5ed064a5a.jpg,469,195,plate,1,2,469,192
118-E-4885-QZ-12-20_jpeg.rf.376d3251fa81f4ca943487497754d4e4.jpg,307,133,plate,18,6,304,124
285-E-5515-QT-06-20_jpeg.rf.383509f4f8ff7db40c82219a019bf5fa.jpg,358,146,plate,7,5,348,134
302-E-3922-OI-05-19_jpg.rf.3c4e1081308599f11981ce04e8166650.jpg,90,42,plate,1,3,89,38
271-E-2381-PAH-10-21_jpeg.rf.3d58affb34d2b9174c48056bec9dd321.jpg,524,221,plate,3,5,522,218
20171212_073548_jpg.rf.3cc40647c9d14088a64b0e4e69951261.jpg,3264,1836,plate,1,221,3264,1613
312-E-3212-OL-08-19_jpg.rf.3f489110670280dd295c25308b8f656b.jpg,631,250,plate,5,5,623,240
340-E-4235-RP-01-22_jpeg.rf.3f7b37dd5a1cd3997e39fefe6cb1733f.jpg,634,271,plate,6,1,633,266
258-E-2895-NB-10-13_jpg.rf.3f5c20cf9f1d0e3f432db305a5e9cbb7.jpg,66,29,plate,2,4,66,27
164-E-3543-PAG-09-21_jpg.rf.324b6aaa98223cd13fdafe9db2fb8b09.jpg,660,316,plate,36,19,635,274
r040_jpg.rf.411afe0b5b5d18c17257ed8c36f898d0.jpg,2268,4032,plate,970,2520,1777,3033
149-E-4217-TT-01-18_jpeg.rf.41e0e14a08fc2f71d428d8c60f6fa82f.jpg,372,157,plate,1,8,372,154
17-E-4172-QC-11-18_jpg.rf.45c8861af2f1704b9ccc3827f6558298.jpg,1231,511,plate,7,14,1213,497
167-E-4314-RP-01-22_jpeg.rf.3eefe4f63a77e4e6053b8966629e88b4.jpg,120,48,plate,2,1,117,48
289-E-6810-TX-06-18_jpeg.rf.44a2a376ba7780cbee7e3026f31e8390.jpg,835,340,plate,3,1,833,336
127-E-6932-TW-05-18_jpg.rf.476141968ff55fecdaa61965f7fac479.jpg,302,123,plate,7,5,296,116
359-E-6270-OZ-01-21_jpg.rf.473b675ccdd256aab5b97983fd6527b5.jpg,517,213,plate,13,5,516,198
183-E-5266-TS-12-22_jpg.rf.4cb17b75320b5d8a119b803f4f308433.jpg,233,97,plate,11,2,225,91
214-E-2086-RI-01-21_jpeg.rf.4a78ed1d381f83818edf004973fb43c9.jpg,591,227,plate,1,8,586,223
351-E-6730-RC-07-19_jpeg.rf.420a9317f35f76a686fb17e6f5e246b2.jpg,291,115,plate,3,2,287,115
328-E-1992-RN-04-22_jpeg.rf.4ea4e0038b340f55e3866048d2be486e.jpg,101,107,plate,1,1,99,106
